序号,上市公司简称,股票代码,申请项目,接收日期,补正日期,受理日期,首次反馈日期,首次反馈回复,二次反馈日期,二次反馈回复
41,中航黑豹,600760,发行股份购买资产,2017-06-22,-,2017-06-27,2017-07-20,2017-09-29,-,-
55,华北高速,000916,上市公司合并、分立,2017-07-12,-,2017-07-17,2017-09-13,2017-09-25,-,-
60,启迪设计,300500,发行股份购买资产,2017-07-31,-,2017-08-03,2017-08-21,2017-09-27,-,-
