序号,上市公司简称,股票代码,申请项目,接收日期,补正日期,受理日期,首次反馈日期,首次反馈回复,二次反馈日期,二次反馈回复
19,启迪设计,300500,发行股份购买资产,2017-07-31,-,2017-08-03,2017-08-21,2017-09-27,2017-11-09,2017-11-30
28,中华企业,600675,发行股份购买资产,2017-08-24,-,2017-08-29,2017-09-19,2017-11-28,-,-
38,万润科技,002654,发行股份购买资产,2017-09-21,-,2017-09-26,2017-10-24,2017-11-30,-,-
44,皖通科技,002331,发行股份购买资产,2017-09-28,-,2017-10-09,2017-10-27,2017-11-30,-,-
46,新宏泰,603016,发行股份购买资产,2017-09-25,2017-09-28,2017-10-17,2017-11-03,2017-11-24,-,-
49,恒力股份,600346,发行股份购买资产,2017-10-27,-,2017-11-01,2017-11-20,2017-11-27,-,-
53,围海股份,002586,发行股份购买资产,2017-10-17,-,2017-10-20,2017-11-03,2017-12-01,-,-
