序号,上市公司简称,股票代码,申请项目,接收日期,补正日期,受理日期,首次反馈日期,首次反馈回复,二次反馈日期,二次反馈回复
55,启迪设计,300500,发行股份购买资产,2017-07-31,-,2017-08-03,2017-08-21,2017-09-27,-,-
59,海达股份,300320,发行股份购买资产,2017-08-14,-,2017-08-17,2017-08-29,2017-10-10,-,-
