序号,上市公司简称,股票代码,申请项目,接收日期,补正日期,受理日期,首次反馈日期,首次反馈回复,二次反馈日期,二次反馈回复
25,鹏欣资源,600490,发行股份购买资产,2017-11-16,-,2017-11-21,2017-12-15,2018-02-22,-,-
26,新纶科技,002341,发行股份购买资产,2017-11-20,-,2017-11-23,2017-12-14,2018-01-05,2018-01-16,2018-02-23
48,东诚药业,002675,发行股份购买资产,2017-11-30,2017-12-05,2017-12-08,2017-12-29,2018-02-13,-,-
49,康盛股份,002418,发行股份购买资产,2017-12-05,-,2017-12-11,2018-01-10,2018-02-22,-,-
53,三钢闽光,002110,发行股份购买资产,2017-12-06,-,2017-12-12,2018-01-08,2018-02-23,-,-
57,东阳光科,600673,发行股份购买资产,2017-12-13,-,2017-12-18,2018-01-11,2018-02-22,-,-
61,神州信息,000555,发行股份购买资产,2017-12-29,-,2018-01-05,2018-01-22,2018-02-22,-,-
