序号,上市公司简称,股票代码,申请项目,接收日期,补正日期,受理日期,首次反馈日期,首次反馈回复,二次反馈日期,二次反馈回复
24,中华企业,600675,发行股份购买资产,2017-08-24,-,2017-08-29,2017-09-19,2017-11-28,-,-
25,东杰智能,300486,发行股份购买资产,2017-08-31,-,2017-09-07,2017-09-27,2017-12-04,-,-
40,皖通科技,002331,发行股份购买资产,2017-09-28,-,2017-10-09,2017-10-27,2017-11-30,-,-
49,围海股份,002586,发行股份购买资产,2017-10-17,-,2017-10-20,2017-11-03,2017-12-01,-,-
51,白云电器,603861,发行股份购买资产,2017-10-20,-,2017-10-25,2017-11-14,2017-12-04,-,-
54,山西焦化,600740,发行股份购买资产,2017-10-24,-,2017-10-27,2017-12-01,2017-12-06,-,-
57,招商轮船,601872,发行股份购买资产,2017-09-29,2017-10-10,2017-11-01,2017-11-22,2017-12-05,-,-
61,雪莱特,002076,发行股份购买资产,2017-10-31,-,2017-11-03,2017-11-23,2017-12-06,-,-
