序号,上市公司简称,股票代码,申请项目,接收日期,补正日期,受理日期,首次反馈日期,首次反馈回复,二次反馈日期,二次反馈回复
21,银泰资源,000975,发行股份购买资产,2017-04-12,-,2017-04-14,2017-05-05,2017-06-28,2017-07-26,2017-09-05
39,神思电子,300479,发行股份购买资产,2017-06-13,-,2017-06-16,2017-07-04,2017-09-11,-,-
66,天创时尚,603608,发行股份购买资产,2017-07-26,-,2017-07-31,2017-08-16,2017-09-11,-,-
67,天润数娱,002113,发行股份购买资产,2017-07-26,-,2017-07-31,2017-08-14,2017-09-13,-,-
