序号,上市公司简称,股票代码,申请项目,接收日期,补正日期,受理日期,首次反馈日期,首次反馈回复,二次反馈日期,二次反馈回复
21,银泰资源,000975,发行股份购买资产,2017-04-12,-,2017-04-14,2017-05-05,2017-06-28,2017-07-26,2017-09-05
27,南洋科技,002389,发行股份购买资产,2017-04-28,-,2017-05-04,2017-05-17,2017-07-20,2017-09-01,2017-09-18
36,康尼机电,603111,发行股份购买资产,2017-06-09,-,2017-06-13,2017-06-28,2017-09-19,-,-
