序号,上市公司简称,股票代码,申请项目,接收日期,补正日期,受理日期,首次反馈日期,首次反馈回复,二次反馈日期,二次反馈回复
31,罗顿发展,600209,发行股份购买资产,2018-01-19,2018-01-23,2018-01-29,2018-02-12,2018-05-15,-,-
41,沃施股份,300483,发行股份购买资产,2018-02-28,-,2018-03-05,2018-03-22,2018-04-19,2018-05-02,2018-05-17
45,信达地产,600657,发行股份购买资产,2018-03-08,2018-03-13,2018-03-19,2018-04-02,2018-05-15,-,-
