序号,上市公司简称,股票代码,申请项目,接收日期,补正日期,受理日期,首次反馈日期,首次反馈回复,二次反馈日期,二次反馈回复
55,海达股份,300320,发行股份购买资产,2017-08-14,-,2017-08-17,2017-08-29,2017-10-10,-,-
57,鲁亿通,300423,发行股份购买资产,2017-08-15,-,2017-08-17,2017-08-31,2017-10-18,-,-
59,海陆重工,002255,发行股份购买资产,2017-08-23,-,2017-08-28,2017-09-19,2017-10-19,-,-
60,北部湾港,000582,发行股份购买资产,2017-08-23,-,2017-08-28,2017-09-19,2017-10-19,-,-
