序号,上市公司简称,股票代码,申请项目,接收日期,补正日期,受理日期,首次反馈日期,首次反馈回复,二次反馈日期,二次反馈回复
46,光环新网,300383,发行股份购买资产,2018-04-13,-,2018-04-18,2018-05-11,2018-06-12,-,-
48,中矿资源,002738,发行股份购买资产,2018-04-24,-,2018-04-27,2018-05-14,2018-06-12,-,-
